Songs:  355 , Artist Name:  Sublime
Songs:  325 , Artist Name:  Rush
Songs:  320 , Artist Name:  Eminem
Songs:  293 , Artist Name:  Ying Yang Twins
Songs:  284 , Artist Name:  Snoop Dogg
Songs:  279 , Artist Name:  Silverstein
Songs:  277 , Artist Name:  Radiohead
Songs:  272 , Artist Name:  Jimi Hendrix
Songs:  265 , Artist Name:  Ludacris
Songs:  264 , Artist Name:  Pink Floyd
Songs:  264 , Artist Name:  The Rolling Stones
Songs:  254 , Artist Name:  Nas
Songs:  242 , Artist Name:  Red Hot Chili Peppers
Songs:  230 , Artist Name:  Heart
Songs:  218 , Artist Name:  Linkin Park
Songs:  215 , Artist Name:  Shakira
Songs:  212 , Artist Name:  Green Day
Songs:  211 , Artist Name:  The Notorious B.I.G.
Songs:  198 , Artist Name:  Nirvana
Songs:  186 , Artist Name:  Weezer
Songs:  183 , Artist Name:  Metallica
Songs:  180 , Artist Name:  blink-182
Songs:  173 , Artist Name:  Taking Back Sunday
Songs:  172 , Artist Name:  Living Colour
Songs:  166 , Artist Name:  Maroon 5
Songs:  162 , Artist Name:  Britney Spears
Songs:  161 , Artist Name:  Biffy Clyro
Songs:  159 , Artist Name:  Primus
Songs:  156 , Artist Name:  Black Sabbath
Songs:  155 , Artist Name:  Modest Mouse
Songs:  155 , Artist Name:  Daft Punk
Songs:  154 , Artist Name:  Gareth Emery
Songs:  154 , Artist Name:  Jimmy Eat World
Songs:  147 , Artist Name:  Thrice
Songs:  140 , Artist Name:  Supertramp
Songs:  138 , Artist Name:  Gorillaz
Songs:  136 , Artist Name:  Muse
Songs:  135 , Artist Name:  Justin Bieber
Songs:  134 , Artist Name:  Drake
Songs:  134 , Artist Name:  The Wonder Years
Songs:  132 , Artist Name:  Beyoncé
Songs:  131 , Artist Name:  Queens of the Stone Age
Songs:  127 , Artist Name:  Foo Fighters
Songs:  127 , Artist Name:  Fall Out Boy
Songs:  125 , Artist Name:  No Doubt
Songs:  120 , Artist Name:  Minus The Bear
Songs:  116 , Artist Name:  Enter Shikari
Songs:  110 , Artist Name:  Ed Sheeran
Songs:  103 , Artist Name:  Bring Me The Horizon
Songs:  103 , Artist Name:  The Police
Songs:  99 , Artist Name:  Man Overboard
Songs:  95 , Artist Name:  The Killers
Songs:  94 , Artist Name:  Coldplay
Songs:  85 , Artist Name:  Bloc Party
Songs:  84 , Artist Name:  The Weeknd
Songs:  83 , Artist Name:  One Direction
Songs:  82 , Artist Name:  Justin Timberlake
Songs:  79 , Artist Name:  Katy Perry
Songs:  79 , Artist Name:  Paramore
Songs:  76 , Artist Name:  Rage Against The Machine
Songs:  75 , Artist Name:  Kendrick Lamar
Songs:  75 , Artist Name:  Dance Gavin Dance
Songs:  74 , Artist Name:  Rx Bandits
Songs:  71 , Artist Name:  Thirty Seconds To Mars
Songs:  69 , Artist Name:  N.W.A.
Songs:  63 , Artist Name:  The Dodos
Songs:  62 , Artist Name:  Imagine Dragons
Songs:  60 , Artist Name:  Architects
Songs:  57 , Artist Name:  The Strokes
Songs:  56 , Artist Name:  MGMT
Songs:  54 , Artist Name:  The Pussycat Dolls
Songs:  54 , Artist Name:  Young the Giant
Songs:  52 , Artist Name:  Childish Gambino
Songs:  52 , Artist Name:  Mother Falcon
Songs:  51 , Artist Name:  The Fall of Troy
Songs:  49 , Artist Name:  Arctic Monkeys
Songs:  48 , Artist Name:  Defeater
Songs:  47 , Artist Name:  Scale The Summit
Songs:  46 , Artist Name:  La Dispute
Songs:  45 , Artist Name:  Title Fight
Songs:  42 , Artist Name:  At The Drive-In
Songs:  40 , Artist Name:  Crossfaith
Songs:  34 , Artist Name:  2NE1
Songs:  33 , Artist Name:  Cage The Elephant
Songs:  30 , Artist Name:  You Blew It!
Songs:  29 , Artist Name:  Closure in Moscow
Songs:  28 , Artist Name:  Adele
Songs:  28 , Artist Name:  BABYMETAL
Songs:  27 , Artist Name:  Ariana Grande
Songs:  26 , Artist Name:  Chon
Songs:  26 , Artist Name:  Dear and the Headlights
Songs:  24 , Artist Name:  Local Natives
Songs:  21 , Artist Name:  Girlfriends
Songs:  20 , Artist Name:  Clarence Clarity
Songs:  20 , Artist Name:  Bruno Mars
Songs:  20 , Artist Name:  Hail The Sun
Songs:  20 , Artist Name:  Fetty Wap
Songs:  17 , Artist Name:  Bad Rabbits
Songs:  17 , Artist Name:  John Cena
Songs:  16 , Artist Name:  Deafheaven
Songs:  11 , Artist Name:  Polyphia
